year,number,
1921,1,#REF!
1922,0,#REF!
1923,0,#REF!
1924,1,#REF!
1925,1,#REF!
1926,1,#REF!
1927,2,#REF!
1928,1,#REF!
1929,0,#REF!
1930,0,#REF!
1931,2,#REF!
1932,0,#REF!
1933,0,#REF!
1934,1,#REF!
1935,0,#REF!
1936,1,#REF!
1937,0,#REF!
1938,0,#REF!
1939,3,#REF!
1940,3,#REF!
1941,2,#REF!
1942,1,#REF!
1943,0,#REF!
1944,1,#REF!
1945,0,#REF!
1946,2,#REF!
1947,0,#REF!
1948,2,#REF!
1949,1,#REF!
1950,3,#REF!
1951,0,#REF!
1952,2,#REF!
1953,2,#REF!
1954,4,#REF!
1955,1,#REF!
1956,0,#REF!
1957,7,#REF!
1958,1,#REF!
1959,4,#REF!
1960,2,#REF!
1961,2,#REF!
1962,3,#REF!
1963,2,#REF!
1964,1,#REF!
1965,1,#REF!
1966,3,#REF!
1967,1,#REF!
1968,2,#REF!
1969,1,#REF!
1970,0,#REF!
1971,1,#REF!
1972,1,#REF!
1973,2,#REF!
1974,2,#REF!
1975,4,#REF!
1976,3,#REF!
1977,1,#REF!
1978,1,#REF!
1979,4,#REF!
1980,4,#REF!
1981,2,#REF!
1982,3,#REF!
1983,2,#REF!
1984,5,#REF!
1985,3,#REF!
1986,4,#REF!
1987,2,#REF!
1988,4,#REF!
1989,2,#REF!
1990,1,#REF!
1991,3,#REF!
1992,2,#REF!
1993,4,#REF!
1994,5,#REF!
1995,8,#REF!
1996,3,#REF!
1997,5,#REF!
1998,5,#REF!
1999,5,#REF!
2000,6,#REF!
2001,6,#REF!
2002,4,#REF!
2003,6,#REF!
2004,6,#REF!
2005,3,#REF!
2006,5,#REF!
2007,5,#REF!
2008,3,#REF!
2009,6,#REF!
2010,5,#REF!
2011,5,#REF!
2012,4,#REF!
2013,5,#REF!
2014,6,#REF!
2015,4,#REF!
2016,5,#REF!
2017,4,#REF!
2018,3,#REF!
,250,#REF!